completeCreate(),AmplitudeService.completeCreate() in AmplitudeService/AmplitudeServiceKit/AmplitudeService.swift
completeUpdate(),AmplitudeService.completeUpdate() in AmplitudeService/AmplitudeServiceKit/AmplitudeService.swift
completeDelete(),AmplitudeService.completeDelete() in AmplitudeService/AmplitudeServiceKit/AmplitudeService.swift
createClient(),AmplitudeService.createClient() in AmplitudeService/AmplitudeServiceKit/AmplitudeService.swift
nib(),NibLoadable.nib() in AmplitudeService/AmplitudeServiceKitUI/NibLoadable.swift
viewDidLoad(),AmplitudeServiceTableViewController.viewDidLoad() in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
updateButtonStates(),AmplitudeServiceTableViewController.updateButtonStates() in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
cancel(),AmplitudeServiceTableViewController.cancel() in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
done(),AmplitudeServiceTableViewController.done() in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
confirmDeletion(completion:),AmplitudeServiceTableViewController.confirmDeletion(completion:) in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
notifyComplete(),AmplitudeServiceTableViewController.notifyComplete() in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
numberOfSections(in:),AmplitudeServiceTableViewController.numberOfSections(in:) in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
tableView(_:numberOfRowsInSection:),AmplitudeServiceTableViewController.tableView(_:numberOfRowsInSection:) in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
tableView(_:titleForHeaderInSection:),AmplitudeServiceTableViewController.tableView(_:titleForHeaderInSection:) in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
tableView(_:cellForRowAt:),AmplitudeServiceTableViewController.tableView(_:cellForRowAt:) in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
tableView(_:didSelectRowAt:),AmplitudeServiceTableViewController.tableView(_:didSelectRowAt:) in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
textField(_:shouldChangeCharactersIn:replacementString:),AmplitudeServiceTableViewController.textField(_:shouldChangeCharactersIn:replacementString:) in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
textFieldShouldReturn(_:),AmplitudeServiceTableViewController.textFieldShouldReturn(_:) in AmplitudeService/AmplitudeServiceKitUI/AmplitudeServiceTableViewController.swift
peripheralManager(_:didUpdateValueFor:),PeripheralManagerDelegate.peripheralManager(_:didUpdateValueFor:) in CGMBLEKit/CGMBLEKit/PeripheralManager.swift
peripheralManager(_:didReadRSSI:error:),PeripheralManagerDelegate.peripheralManager(_:didReadRSSI:error:) in CGMBLEKit/CGMBLEKit/PeripheralManager.swift
peripheralManagerDidUpdateName(_:),PeripheralManagerDelegate.peripheralManagerDidUpdateName(_:) in CGMBLEKit/CGMBLEKit/PeripheralManager.swift
completeConfiguration(for:),PeripheralManagerDelegate.completeConfiguration(for:) in CGMBLEKit/CGMBLEKit/PeripheralManager.swift
mutate(_:),Locked.mutate(_:) in CGMBLEKit/Common/Locked.swift
append(_:),GlucoseBackfillFrameBuffer.append(_:) in CGMBLEKit/CGMBLEKit/Messages/GlucoseBackfillMessage.swift
transmitterDidConnect(_:),TransmitterDelegate.transmitterDidConnect(_:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
transmitter(_:didError:),TransmitterDelegate.transmitter(_:didError:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
transmitter(_:didRead:),TransmitterDelegate.transmitter(_:didRead:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
transmitter(_:didReadBackfill:),TransmitterDelegate.transmitter(_:didReadBackfill:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
transmitter(_:didReadUnknownData:),TransmitterDelegate.transmitter(_:didReadUnknownData:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
resumeScanning(),Transmitter.resumeScanning() in CGMBLEKit/CGMBLEKit/Transmitter.swift
stopScanning(),Transmitter.stopScanning() in CGMBLEKit/CGMBLEKit/Transmitter.swift
bluetoothManager(_:peripheralManager:isReadyWithError:),Transmitter.bluetoothManager(_:peripheralManager:isReadyWithError:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
bluetoothManager(_:shouldConnectPeripheral:),Transmitter.bluetoothManager(_:shouldConnectPeripheral:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
bluetoothManager(_:peripheralManager:didReceiveControlResponse:),Transmitter.bluetoothManager(_:peripheralManager:didReceiveControlResponse:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
bluetoothManager(_:didReceiveBackfillResponse:),Transmitter.bluetoothManager(_:didReceiveBackfillResponse:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
bluetoothManager(_:peripheralManager:didReceiveAuthenticationResponse:),Transmitter.bluetoothManager(_:peripheralManager:didReceiveAuthenticationResponse:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
bluetoothManager(_:peripheralManager:isReadyWithError:),BluetoothManagerDelegate.bluetoothManager(_:peripheralManager:isReadyWithError:) in CGMBLEKit/CGMBLEKit/BluetoothManager.swift
bluetoothManager(_:shouldConnectPeripheral:),BluetoothManagerDelegate.bluetoothManager(_:shouldConnectPeripheral:) in CGMBLEKit/CGMBLEKit/BluetoothManager.swift
bluetoothManager(_:peripheralManager:didReceiveControlResponse:),BluetoothManagerDelegate.bluetoothManager(_:peripheralManager:didReceiveControlResponse:) in CGMBLEKit/CGMBLEKit/BluetoothManager.swift
bluetoothManager(_:didReceiveBackfillResponse:),BluetoothManagerDelegate.bluetoothManager(_:didReceiveBackfillResponse:) in CGMBLEKit/CGMBLEKit/BluetoothManager.swift
bluetoothManager(_:peripheralManager:didReceiveAuthenticationResponse:),BluetoothManagerDelegate.bluetoothManager(_:peripheralManager:didReceiveAuthenticationResponse:) in CGMBLEKit/CGMBLEKit/BluetoothManager.swift
scanForPeripheral(),BluetoothManager.scanForPeripheral() in CGMBLEKit/CGMBLEKit/BluetoothManager.swift
disconnect(),BluetoothManager.disconnect() in CGMBLEKit/CGMBLEKit/BluetoothManager.swift
managerQueue_scanForPeripheral(),BluetoothManager.managerQueue_scanForPeripheral() in CGMBLEKit/CGMBLEKit/BluetoothManager.swift
scanAfterDelay(),BluetoothManager.scanAfterDelay() in CGMBLEKit/CGMBLEKit/BluetoothManager.swift
dequeuePendingCommand(for:),TransmitterCommandSource.dequeuePendingCommand(for:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
transmitter(_:didFail:with:),TransmitterCommandSource.transmitter(_:didFail:with:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
transmitter(_:didComplete:),TransmitterCommandSource.transmitter(_:didComplete:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
computeHash(of:),TransmitterID.computeHash(of:) in CGMBLEKit/CGMBLEKit/Transmitter.swift
transmitterManagerDidUpdateLatestReading(_:),TransmitterManagerObserver.transmitterManagerDidUpdateLatestReading(_:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
setState(_:),TransmitterManager.setState(_:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
mutateState(_:),TransmitterManager.mutateState(_:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
setStateWithResult(_:),TransmitterManager.setStateWithResult(_:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
stateDidUpdate(),TransmitterManager.stateDidUpdate() in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
setupSimulatedSampleGenerator(),TransmitterManager.setupSimulatedSampleGenerator() in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
generateSimulatedSample(),TransmitterManager.generateSimulatedSample() in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
logDeviceCommunication(_:type:),TransmitterManager.logDeviceCommunication(_:type:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
fetchNewDataIfNeeded(_:),TransmitterManager.fetchNewDataIfNeeded(_:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
updateDelegate(with:),TransmitterManager.updateDelegate(with:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
notifyDelegateOfStateChange(),TransmitterManager.notifyDelegateOfStateChange() in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
transmitterDidConnect(_:),TransmitterManager.transmitterDidConnect(_:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
transmitter(_:didError:),TransmitterManager.transmitter(_:didError:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
transmitter(_:didRead:),TransmitterManager.transmitter(_:didRead:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
transmitter(_:didReadBackfill:),TransmitterManager.transmitter(_:didReadBackfill:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
transmitter(_:didReadUnknownData:),TransmitterManager.transmitter(_:didReadUnknownData:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
logDeviceCommunication(_:type:),G5CGMManager.logDeviceCommunication(_:type:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
stateDidUpdate(),G5CGMManager.stateDidUpdate() in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
logDeviceCommunication(_:type:),G6CGMManager.logDeviceCommunication(_:type:) in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
stateDidUpdate(),G6CGMManager.stateDidUpdate() in CGMBLEKit/CGMBLEKit/TransmitterManager.swift
viewDidLoad(),TransmitterSettingsViewController.viewDidLoad() in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
doneTapped(_:),TransmitterSettingsViewController.doneTapped(_:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
complete(),TransmitterSettingsViewController.complete() in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
viewWillAppear(_:),TransmitterSettingsViewController.viewWillAppear(_:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
numberOfSections(in:),TransmitterSettingsViewController.numberOfSections(in:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
tableView(_:numberOfRowsInSection:),TransmitterSettingsViewController.tableView(_:numberOfRowsInSection:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
tableView(_:cellForRowAt:),TransmitterSettingsViewController.tableView(_:cellForRowAt:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
tableView(_:titleForHeaderInSection:),TransmitterSettingsViewController.tableView(_:titleForHeaderInSection:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
tableView(_:shouldHighlightRowAt:),TransmitterSettingsViewController.tableView(_:shouldHighlightRowAt:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
tableView(_:willSelectRowAt:),TransmitterSettingsViewController.tableView(_:willSelectRowAt:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
tableView(_:didSelectRowAt:),TransmitterSettingsViewController.tableView(_:didSelectRowAt:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
tableView(_:willDeselectRowAt:),TransmitterSettingsViewController.tableView(_:willDeselectRowAt:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
uploadEnabledChanged(_:),TransmitterSettingsViewController.uploadEnabledChanged(_:) in CGMBLEKit/CGMBLEKitUI/TransmitterSettingsViewController.swift
updateShareUsername(),TransmitterIDSetupViewController.updateShareUsername() in CGMBLEKit/CGMBLEKitUI/TransmitterIDSetupViewController.swift
updateStateForSettings(),TransmitterIDSetupViewController.updateStateForSettings() in CGMBLEKit/CGMBLEKitUI/TransmitterIDSetupViewController.swift
continueButtonPressed(_:),TransmitterIDSetupViewController.continueButtonPressed(_:) in CGMBLEKit/CGMBLEKitUI/TransmitterIDSetupViewController.swift
cancelButtonPressed(_:),TransmitterIDSetupViewController.cancelButtonPressed(_:) in CGMBLEKit/CGMBLEKitUI/TransmitterIDSetupViewController.swift
shouldPerformSegue(withIdentifier:sender:),TransmitterIDSetupViewController.shouldPerformSegue(withIdentifier:sender:) in CGMBLEKit/CGMBLEKitUI/TransmitterIDSetupViewController.swift
viewDidLoad(),TransmitterIDSetupViewController.viewDidLoad() in CGMBLEKit/CGMBLEKitUI/TransmitterIDSetupViewController.swift
tableView(_:didSelectRowAt:),TransmitterIDSetupViewController.tableView(_:didSelectRowAt:) in CGMBLEKit/CGMBLEKitUI/TransmitterIDSetupViewController.swift
instantiateFromStoryboard(),TransmitterSetupViewController.instantiateFromStoryboard() in CGMBLEKit/CGMBLEKitUI/TransmitterSetupViewController.swift
viewDidLoad(),TransmitterSetupViewController.viewDidLoad() in CGMBLEKit/CGMBLEKitUI/TransmitterSetupViewController.swift
completeSetup(state:),TransmitterSetupViewController.completeSetup(state:) in CGMBLEKit/CGMBLEKitUI/TransmitterSetupViewController.swift
navigationController(_:willShow:animated:),TransmitterSetupViewController.navigationController(_:willShow:animated:) in CGMBLEKit/CGMBLEKitUI/TransmitterSetupViewController.swift
navigationController(_:didShow:animated:),TransmitterSetupViewController.navigationController(_:didShow:animated:) in CGMBLEKit/CGMBLEKitUI/TransmitterSetupViewController.swift
g7StateDidUpdate(_:),G7StateObserver.g7StateDidUpdate(_:) in G7SensorKit/G7SensorKit/G7CGMManager/G7CGMManager.swift
g7ConnectionStatusDidChange(),G7StateObserver.g7ConnectionStatusDidChange() in G7SensorKit/G7SensorKit/G7CGMManager/G7CGMManager.swift
